,url,year,imdb_link,title,Directed by,Produced by,Starring,Music by,Cinematography,Edited by,Distributed by,Release date,Running time,Country,Language
1591,https://en.wikipedia.org/wiki/Don%27t_Look_Back_(1996_film),-0.9373941810784994,https://www.imdb.com/title/tt0116127/,Don't Look Back,Geoff Murphy,,"['Eric Stoltz', 'John Corbett', 'Josh Hamilton', ""Ja'net Dubois"", 'Billy Bob Thornton', 'Annabeth Gish']",,Mark Irwin,,,,91 minutes,,
1592,https://en.wikipedia.org/wiki/Dorf_on_the_Diamond,-0.9373941810784994,https://www.imdb.com/title/tt0168702/,Dorf on the Diamond,Berry Landen,,"['Tim Conway', 'Shawn Hess', 'Tim Conway Jr.']",,,,J2 Communications,"['December 1, 1996', '(', '1996-12-01', ')']",50 minutes,,English
1593,https://en.wikipedia.org/wiki/Down_Periscope,-0.9373941810784994,https://www.imdb.com/title/tt0116130/,Down Periscope,David S. Ward,Robert Lawrence,"['Kelsey Grammer', 'Lauren Holly', 'Rob Schneider', 'Harry Dean Stanton', 'Bruce Dern', 'Rip Torn']",Randy Edelman,Victor Hammer,"['William M. Anderson', 'Armen Minasian']",20th Century Fox,"March 1, 1996",93 minutes,United States,English
1594,https://en.wikipedia.org/wiki/Dragonheart,-0.9373941810784994,https://www.imdb.com/title/tt0116136/,Dragonheart,Rob Cohen,Raffaella De Laurentiis,"['Dennis Quaid', 'David Thewlis', 'Pete Postlethwaite', 'Dina Meyer', 'Julie Christie', 'Sean Connery']",Randy Edelman,David Eggby,Peter Amundson,Universal Pictures,"['May 31, 1996', '(', '1996-05-31', ')', '(North America)', 'October 18, 1996', '(', '1996-10-18', ')', '(United Kingdom)']",103 minutes,"['United Kingdom', 'United States', 'Slovakia']",English
1595,https://en.wikipedia.org/wiki/Drawing_Flies,-0.9373941810784994,https://www.imdb.com/title/tt0116138/,Drawing Flies,"['Malcolm Ingram', 'Matt Gissing']","['Malcolm Ingram', 'Matt Gissing', 'Scott Mosier', 'Kevin Smith']","['Jason Lee', 'Jason Mewes', 'Renee Humphrey', 'Carmen Lee']",,Brian Pearson,"['Malcolm Ingram', 'Matt Gissing']",View Askew Productions,"['1996', '(', '1996', ')']",76 minutes,Canada,English
1596,https://en.wikipedia.org/wiki/Dream_for_an_Insomniac,-0.9373941810784994,https://www.imdb.com/title/tt0116141/,Dream for an Insomniac,Tiffanie DeBartolo,"['Phyllis Housen', 'John Hackett', 'Christopher Lloyd', 'Rita Rokisky']","['Ione Skye', 'Jennifer Aniston', 'Mackenzie Astin', 'Michael Landes', 'Robert Kelker-Kelly', 'Seymour Cassel']",,Guillermo Navarro,,,"June 19, 1998 (U.S.)",,United States,English
1597,https://en.wikipedia.org/wiki/Dunston_Checks_In,-0.9373941810784994,https://www.imdb.com/title/tt0116151/,Dunston Checks In,Ken Kwapis,"['Todd Black', 'Joe Wizan']","['Jason Alexander', 'Faye Dunaway', 'Eric Lloyd', 'Rupert Everett', 'Bree Turner', 'Glenn Shadix', 'Paul Reubens']",Miles Goodman,Peter Lyons Collister,Jon Poll,20th Century Fox,"['January 12, 1996', '(', '1996-01-12', ')']",90 minutes,"['Canada', '[2]', 'United States']",English
1598,"https://en.wikipedia.org/wiki/East_Palace,_West_Palace",-0.9373941810784994,https://www.imdb.com/title/tt0119007/,"East Palace, West Palace",Zhang Yuan,"['Christophe Jung', 'Christophe Ménager', 'Zhang Yuan', 'Willy Tsao']","['Si Han', 'Hu Jun', 'Zhao Wei']",Xiang Min,Zhang Jian,Vincent Lévy,Fortissimo Films,"['November 1996', '(', '1996-11', ')', '(', 'Mar del Plata', ')']",94 minutes,China,Mandarin
1599,https://en.wikipedia.org/wiki/Ed_(film),-0.9373941810784994,https://www.imdb.com/title/tt0116165/,Ed,Bill Couturié,"['Rosalie Swedlin', 'Bill Finnegan', '[1]']","['Matt LeBlanc', 'Jayne Brook', 'Bill Cobbs', 'Jack Warden']",Stephen Endelman,Alan Caso,"['Robert K. Lambert', 'Todd E. Miller']",Universal Pictures,"['March 15, 1996', '(', '1996-03-15', ')']",94 minutes,,
1600,https://en.wikipedia.org/wiki/Ed%27s_Next_Move,-0.9373941810784994,https://www.imdb.com/title/tt0116167/,Ed's Next Move,John C. Walsh,Sally Roy,"['Matt Ross', 'Callie Thorne', 'Kevin Carroll']","['Benny Golson and', ""Ed's Redeeming Qualities""]",Peter Nelson,Pamela Martin,MGM,"['1996', '(', '1996', ')']",88 minutes,United States,English
1601,https://en.wikipedia.org/wiki/Eddie_(film),-0.9373941810784994,https://www.imdb.com/title/tt0116168/,Eddie,Steve Rash,"['David Permut', 'Mark Burg']","['Whoopi Goldberg', 'Frank Langella', 'Dennis Farina', 'Richard Jenkins']",Stanley Clarke,Victor J. Kemper,Richard Halsey,"['Buena Vista Pictures', '(North America)', 'PolyGram Filmed Entertainment', '(international)']","May 31, 1996 (U.S.)",100 minutes,United States,English
1602,https://en.wikipedia.org/wiki/Emma_(1996_theatrical_film),-0.9373941810784994,https://www.imdb.com/title/tt0116191/,Emma,Douglas McGrath,"['Patrick Cassavetti', 'Steven Haft']","['Gwyneth Paltrow', 'Toni Collette', 'Alan Cumming', 'Ewan McGregor', 'Greta Scacchi', 'Juliet Stevenson', 'Polly Walker']",Rachel Portman,Ian Wilson,Lesley Walker,Miramax Films,"['August 2, 1996', '(', '1996-08-02', ')']",120 minutes,"['United Kingdom', 'United States']",English
1603,https://en.wikipedia.org/wiki/The_Empty_Mirror,-0.9373941810784994,https://www.imdb.com/title/tt0116192/,The Empty Mirror,Barry J. Hershey,"['Jay Roach', 'David D. Johnson', 'William Dance']","['Norman Rodway', 'Joel Grey', 'Camilla Soeberg']",John Frizzell,Frederick Elmes,Marc Grossman,Lions Gate Films,"['November 1996', '(', '1996-11', ')']",118 minutes,United States,English
1604,https://en.wikipedia.org/wiki/The_English_Patient_(film),-0.9373941810784994,https://www.imdb.com/title/tt0116209/,The English Patient,Anthony Minghella,Saul Zaentz,"['Ralph Fiennes', 'Juliette Binoche', 'Willem Dafoe', 'Kristin Scott Thomas', 'Naveen Andrews', 'Colin Firth', 'Julian Wadham', 'Jürgen Prochnow']",Gabriel Yared,John Seale,Walter Murch,Miramax Films,"['November 15, 1996', '(', '1996-11-15', ')']",162 minutes,United States,"['English', 'German', 'Italian', 'Arabic']"
1605,https://en.wikipedia.org/wiki/Entertaining_Angels:_The_Dorothy_Day_Story,-0.9373941810784994,https://www.imdb.com/title/tt0116212/,Entertaining Angels: The Dorothy Day Story,Michael Ray Rhodes,,"['Moira Kelly', 'Heather Graham', 'Lenny Von Dohlen', 'Martin Sheen']",,,,Paulist Pictures,"['September 27, 1996', '(', '1996-09-27', ')']",,United States,English
1606,https://en.wikipedia.org/wiki/Eraser_(film),-0.9373941810784994,https://www.imdb.com/title/tt0116213/,Eraser,Chuck Russell,"['Anne Kopelson', 'Arnold Kopelson']","['Arnold Schwarzenegger', 'James Caan', 'Vanessa Williams', 'James Coburn', 'Robert Pastorelli']",Alan Silvestri,Adam Greenberg,Michael Tronick,Warner Bros. Pictures,"['June 21, 1996', '(', '1996-06-21', ')']",114 minutes,United States,English
1607,https://en.wikipedia.org/wiki/Escape_from_L.A.,-0.9373941810784994,https://www.imdb.com/title/tt0116225/,Escape from L.A.,John Carpenter,"['Debra Hill', 'Kurt Russell']","['Kurt Russell', 'Stacy Keach', 'Steve Buscemi', 'Peter Fonda', 'Georges Corraface', 'Pam Grier', 'Cliff Robertson']","['John Carpenter', 'Shirley Walker']",Gary B. Kibbe,Edward A. Warschilka,Paramount Pictures,"['August 9, 1996', '(', '1996-08-09', ')', '[1]']",101 minutes,United States,English
1608,https://en.wikipedia.org/wiki/The_Evening_Star,-0.9373941810784994,https://www.imdb.com/title/tt0116240/,The Evening Star,Robert Harling,"['David Kirkpatrick', 'Polly Platt', 'Keith Samples']","['Shirley MacLaine', 'Bill Paxton', 'Juliette Lewis', 'Miranda Richardson', 'Ben Johnson', 'Scott Wolf', 'George Newbern', 'Marion Ross', 'Mackenzie Astin', 'Donald Moffat', 'Jack Nicholson']",William Ross,Don Burgess,David Moritz,Paramount Pictures,"['December 25, 1996', '(', '1996-12-25', ')']",129 minutes,United States,English
1609,https://en.wikipedia.org/wiki/Everyone_Says_I_Love_You,-0.9373941810784994,https://www.imdb.com/title/tt0116242/,Everyone Says I Love You,Woody Allen,Robert Greenhut,"['Alan Alda', 'Woody Allen', 'Drew Barrymore', 'Lukas Haas', 'Goldie Hawn', 'Gaby Hoffmann', 'Natasha Lyonne', 'Edward Norton', 'Natalie Portman', 'Julia Roberts', 'Tim Roth', 'David Ogden Stiers']",Dick Hyman,Carlo Di Palma,Susan E. Morse,Miramax Films,"['December 8, 1996', '(', '1996-12-08', ')']",101 minutes,United States,English
1610,https://en.wikipedia.org/wiki/Evita_(1996_film),-0.9373941810784994,https://www.imdb.com/title/tt0116250/,Evita,Alan Parker,"['Robert Stigwood', 'Alan Parker', 'Andrew G. Vajna']","['Madonna', 'Antonio Banderas', 'Jonathan Pryce', 'Jimmy Nail']",Andrew Lloyd Webber,Darius Khondji,Gerry Hambling,Buena Vista Pictures,"['December 14, 1996', '(', '1996-12-14', ')', '(Los Angeles)', 'December 25, 1996', '(', '1996-12-25', ')', '(United States)']",134 minutes,United States,"['English', 'Spanish']"
1611,https://en.wikipedia.org/wiki/Executive_Decision,-0.9373941810784994,https://www.imdb.com/title/tt0116253/,Executive Decision,Stuart Baird,Joel Silver,"['Kurt Russell', 'Halle Berry', 'John Leguizamo', 'Oliver Platt', 'Joe Morton', 'David Suchet', 'Steven Seagal']",Jerry Goldsmith,Alex Thomson,"['Stuart Baird', 'Frank J. Urioste']",Warner Bros. Pictures,"['March 15, 1996', '(', '1996-03-15', ')']",133 minutes,United States,English
1612,https://en.wikipedia.org/wiki/Extreme_Measures,-0.9373941810784994,https://www.imdb.com/title/tt0116259/,Extreme Measures,Michael Apted,Elizabeth Hurley,"['Hugh Grant', 'Gene Hackman', 'Sarah Jessica Parker', 'David Morse', 'Debra Monk']",Danny Elfman,John Bailey,Rick Shaine,"['Columbia Pictures', '(US)', 'Rank', '(UK)']","['September 27, 1996', '(', '1996-09-27', ')']",118 minutes,"['United Kingdom', 'United States']",English
1613,https://en.wikipedia.org/wiki/Eye_for_an_Eye_(1996_film),-0.9373941810784994,https://www.imdb.com/title/tt0116260/,Eye for an Eye,John Schlesinger,"['Michael I. Levy', 'Michael Polaire', 'Kathryn Knowlton (associate)']","['Sally Field', 'Kiefer Sutherland', 'Ed Harris', ""Beverly D'Angelo"", 'Joe Mantegna']",James Newton Howard,Amir M. Mokri,Peter Honess,Paramount Pictures,"['January 12, 1996', '(', '1996-01-12', ')']",101 minutes,United States,English
1614,https://en.wikipedia.org/wiki/The_Face_(1996_film),-0.9373941810784994,https://www.imdb.com/title/tt0116265/,A Face to Die For,Jack Bender,,"['Yasmine Bleeth', 'James Wilder', 'Robin Givens', 'Chandra West']",Christopher Franke,Eagle Egilsson,,,,90 minutes,,
1615,https://en.wikipedia.org/wiki/Faces_of_Death_VI,-0.9373941810784994,https://www.imdb.com/title/tt0223250/,Faces of Death 6,John Alan Schwartz,,,Gene Kauer,,,Gorgon Video,1996,varies,United States,English
1616,https://en.wikipedia.org/wiki/Faithful_(1996_film),-0.9373941810784994,https://www.imdb.com/title/tt0116269/,Faithful,Paul Mazursky,"['Robert De Niro', 'Jane Rosenthal']","['Cher', 'Chazz Palminteri', ""Ryan O'Neal""]",Phillip Johnston,Fred Murphy,Nicholas C. Smith,New Line Cinema,"['April 19, 1996', '(', '1996-04-19', ')']",91 minutes,United States,English
1617,https://en.wikipedia.org/wiki/A_Family_Thing,-0.9373941810784994,https://www.imdb.com/title/tt0116275/,A Family Thing,Richard Pearce,"['Michael Hausman', 'Robert Duvall', 'Brad Wilson']","['Robert Duvall', 'James Earl Jones']",Charles Gross,Fred Murphy,Mark Warner,United Artists,"['March 29, 1996', '(', '1996-03-29', ')']",109 minutes,United States,English
1618,https://en.wikipedia.org/wiki/The_Fan_(1996_film),-0.9373941810784994,https://www.imdb.com/title/tt0116277/,The Fan,Tony Scott,Wendy Finerman,"['Robert De Niro', 'Wesley Snipes', 'John Leguizamo', 'Benicio del Toro', 'Ellen Barkin']",Hans Zimmer,Dariusz Wolski,"['Claire Simpson', 'Christian Wagner']",TriStar Pictures,"['August 16, 1996', '(', '1996-08-16', ')']",116 minutes,United States,English
1619,https://en.wikipedia.org/wiki/Fargo_(film),-0.9373941810784994,https://www.imdb.com/title/tt0116282/,Fargo,Joel Coen,Ethan Coen,"['Frances McDormand', 'William H. Macy', 'Steve Buscemi', 'Harve Presnell', 'Peter Stormare']",Carter Burwell,Roger Deakins,Roderick Jaynes,Gramercy Pictures,"['March 8, 1996', '(', '1996-03-08', ')', '(United States)', 'May 31, 1996', '(', '1996-05-31', ')', '(United Kingdom)']",98 minutes,"['United Kingdom', '[2]', 'United States', '[2]']",English
1620,https://en.wikipedia.org/wiki/Fear_(1996_film),-0.9373941810784994,https://www.imdb.com/title/tt0116287/,Fear,James Foley,Brian Grazer,"['Mark Wahlberg', 'Reese Witherspoon', 'William Petersen', 'Alyssa Milano', 'Amy Brenneman']",Carter Burwell,Thomas Kloss,David Brenner,Universal Pictures,"['April 12, 1996', '(', '1996-04-12', ')']",96 minutes,United States,English
1621,https://en.wikipedia.org/wiki/Feeling_Minnesota,-0.9373941810784994,https://www.imdb.com/title/tt0116289/,Feeling Minnesota,Steven Baigelman,Danny DeVito,"['Keanu Reeves', ""Vincent D'Onofrio"", 'Cameron Diaz', 'Delroy Lindo', 'Courtney Love', 'Tuesday Weld', 'Dan Aykroyd']",Los Lobos,Walt Lloyd,"['Kristen Helsing', 'Martin Walsh', 'Thom Noble']",Fine Line Features,"['September 13, 1996', '(', '1996-09-13', ')']",99 minutes,United States,English
